ind_csv,pedrego_c1,rocho_c1,relevo_c1,ad_c1,pedrego_c2,rocho_c2,relevo_c2,ad_c2,pedrego_c3,rocho_c3,relevo_c3,ad_c3,pedrego_c4,rocho_c4,relevo_c4,ad_c4,pedrego_c5,rocho_c5,relevo_c5,ad_c5,ad_um,solos_c1,solos_c2,solos_c3,solos_c4,solos_c5,textura_c1,textura_c2,textura_c3,textura_c4,textura_c5,c1_class
LA1,,,plano,1.0859999999999999,,,,0.0,,,,0.0,,,,0.0,,,,0,1.0859999999999999,"LATOSSOLO, AMARELO, Distrófico, típico",,,,,"média, argilosa",,,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA1"
LA2,,,plano,1.35,,,,0.0,,,,0.0,,,,0.0,,,,0,1.35,"LATOSSOLO, AMARELO, Distrófico, típico",,,,,argilosa,,,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA2"
LA3,,,suave ondulado,0.91,,,suave ondulado,0.91,,,,0.0,,,,0.0,,,,0,0.91,"LATOSSOLO, AMARELO, Distrófico, típico","LATOSSOLO, AMARELO, Distrófico, plíntico",,,,média,média,,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA3"
LA4,,,plano,1.35,,,,0.0,,,,0.0,,,,0.0,,,,0,1.35,"LATOSSOLO, AMARELO, Distrófico, típico e úmbrico",,,,,argilosa,,,,,"LATOSSOLO, AMARELO, Distrófico, típico e úmbrico - LA4"
LA5,,,plano e suave ondulado,1.0859999999999999,,,,0.0,,,,0.0,,,,0.0,,,,0,1.0859999999999999,"LATOSSOLO, AMARELO, Distrófico, típico e úmbrico",,,,,"média, argilosa",,,,,"LATOSSOLO, AMARELO, Distrófico, típico e úmbrico - LA5"
LA6,,,plano e suave ondulado,0.91,,,,0.0,,,,0.0,,,,0.0,,,,0,0.91,"LATOSSOLO, AMARELO, Distrófico, típico e úmbrico",,,,,média,,,,,"LATOSSOLO, AMARELO, Distrófico, típico e úmbrico - LA6"
LA7,,,plano,1.0859999999999999,,,plano,1.0859999999999999,,,,0.0,,,,0.0,,,,0,1.0859999999999999,"LATOSSOLO, AMARELO, Distrófico, típico","LATOSSOLO, VERMELHO-AMARELO, Distrófico, típico",,,,"média, argilosa","média, argilosa",,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA7"
LA8,,,plano,1.1740000000000002,,,plano,1.35,concrecionário,,suave ondulado,0.7735000000000001,,,suave ondulado,1.31,,,,0,1.1563,"LATOSSOLO, AMARELO, Distrófico, típico","LATOSSOLO, ACINZENTADO, Distrófico, típico","LATOSSOLO, AMARELO, Distrófico, típico","ARGISSOLO, AMARELO, Eutrófico, latossólico",,"argilosa, média",argilosa,média,média/argilosa,,"LATOSSOLO, AMARELO, Distrófico, típico - LA8"
LA9,,,plano,1.35,pedregoso,,forte ondulado,0.8148000000000001,,,,0.0,,,,0.0,,,,0,1.0824,"LATOSSOLO, AMARELO, Distrófico, típico","NEOSSOLO, LITÓLICO, Distrófico, típico",,,,argilosa,"argilosa, média",,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA9"
LA10,,,plano e suave ondulado,1.1740000000000002,,,suave ondulado,1.31,,,,0.0,,,,0.0,,,,0,1.2148,"LATOSSOLO, AMARELO, Distrófico, úmbrico","ARGISSOLO, VERMELHO-AMARELO e AMARELO, Distrófico, típico",,,,"argilosa, média",média/argilosa,,,,"LATOSSOLO, AMARELO, Distrófico, úmbrico - LA10"
LA11,,,plano e suave ondulado,0.91,,,suave ondulado,1.05,,,plano e suave ondulado,0.57,,,,0.0,,,,0,0.857,"LATOSSOLO, AMARELO, Distrófico, típico","ARGISSOLO, AMARELO e VERMELHO-AMARELO, Distrófico, abrúptoco","NEOSSOLO, QUARTZARÊNICO, Órtico, típico",,,média,arenosa/argilosa,arenosa,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA11"
LA12,,,plano e suave ondulado,0.91,,,plano,0.57,,,,0.0,,,,0.0,,,,0,0.774,"LATOSSOLO, AMARELO, Distrófico, típico","NEOSSOLO, QUARTZARÊNICO, Órtico, típico",,,,média,arenosa,,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA12"
LA13,,,suave ondulado e plano,0.8440000000000001,,,,0.0,,,,0.0,,,,0.0,,,,0,0.8440000000000001,"LATOSSOLO, AMARELO, Distrófico, típico",,,,,"arenosa/média, média",,,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA13"
LA14,,,suave ondulado e ondulado,0.91,,,suave e suave ondulado,0.57,,,suave ondulado,0.89,,,,0.0,,,,0,0.804,"LATOSSOLO, AMARELO, Distrófico, típico","NEOSSOLO, QUARTZARÊNICO, Órtico, típico","ARGISSOLO, VERMELHO-AMARELO, Eutrófico, latossólico",,,média,arenosa,"arenosa/média, média/média",,,"LATOSSOLO, AMARELO, Distrófico, típico - LA14"
LA15,,,plano e suave ondulado,1.0859999999999999,,,plano e suave ondulado,0.91,,,,0.0,,,,0.0,,,,0,0.8248,"LATOSSOLO, AMARELO, Distrófico, típico","LATOSSOLO, ACINZENTADO, Distrófico, típico",AFLORAMENTOS DE ROCHA,,,"média, argilosa",média,,,,"LATOSSOLO, AMARELO, Distrófico, típico - LA15"
LA16,,,plano,0.91,,,,0.0,,,,0.0,,,,0.0,,,,0,0.91,"LATOSSOLO, AMARELO e ACINZENTADO, Distrófico, típico",,,,,média,,,,,"LATOSSOLO, AMARELO e ACINZENTADO, Distrófico, típico - LA16"
LA17,,,plano e suave ondulado,0.91,pedregoso,,plano e suave ondulado,0.637,pedregoso,,plano e suave ondulado,0.917,,,,0.0,,,,0,0.8434999999999999,"LATOSSOLO, AMARELO e ACINZENTADO, Distrófico, típico","LATOSSOLO, AMARELO, Distrófico, típico e plínico","ARGISSOLO, AMARELO, Distrófico, típico",,,média,média,média/argilosa,,,"LATOSSOLO, AMARELO e ACINZENTADO, Distrófico, típico - LA17"
LAC,,,plano e suave ondulado,0.91,,,plano e suave ondulado,0.91,,,plano e suave ondulado,0.57,,,,0.0,,,,0,0.808,"LATOSSOLO, ACINZENTADO (AMARELO), Distrófico, típico","LATOSSOLO, AMARELO, Distrófico, típico","NEOSSOLO, QUARTZARÊNICO, Órtico, latossólico",,,média,média,arenosa,,,"LATOSSOLO, ACINZENTADO (AMARELO), Distrófico, típico - LAC"
LVA1,,,suave ondulado,0.91,,,,0.0,,,,0.0,,,,0.0,,,,0,0.91,"LATOSSOLO, VERMELHO-AMARELO, Distrófico, típico",,,,,média,,,,,"LATOSSOLO, VERMELHO-AMARELO, Distrófico, típico - LVA1"
LVA2,,,plano e ondulado,1.0859999999999999,,,plano a ondulado,0.91,,,,0.0,,,,0.0,,,,0,0.998,"LATOSSOLO, VERMELHO-AMARELO, Distrófico, típico","LATOSSOLO, AMARELO, Distrófico, petroplíntico e típico",,,,"média, argilosa",média,,,,"LATOSSOLO, VERMELHO-AMARELO, Distrófico, típico - LVA2"
