ind_csv,pedrego_c1,rocho_c1,relevo_c1,ad_c1,pedrego_c2,rocho_c2,relevo_c2,ad_c2,pedrego_c3,rocho_c3,relevo_c3,ad_c3,pedrego_c4,rocho_c4,relevo_c4,ad_c4,pedrego_c5,rocho_c5,relevo_c5,ad_c5,ad_um,solos_c1,solos_c2,solos_c3,solos_c4,solos_c5,textura_c1,textura_c2,textura_c3,textura_c4,textura_c5,c1_class
CHd 1, ,,forte ondulado,1.34,,,,0,,,,0,,,,0,,,,0,1.34,"CAMBISSOLO, HUMICO, Distrofico, tipico",,,,,argilosa,,,,,"CAMBISSOLO, HUMICO, Distrofico, tipico - CHd 1"
CXal 9, ,,suave ondulado,1.48,,,,0,,,,0,,,,0,,,,0,1.48,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 9"
CXbe 3, ,,forte ondulado,1.34,,,,0,,,,0,,,,0,,,,0,1.34,"CAMBISSOLO, HAPLICO, Tb Eutrofico, tipico",,,,,argilosa,,,,,"CAMBISSOLO, HAPLICO, Tb Eutrofico, tipico - CXbe 3"
CXvd 11,pedregosa,,moderadamente ondulado,0.9380000000000002,,,,0,,,,0,,,,0,,,,0,0.9380000000000002,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico",,,,,argilosa,,,,,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico - CXvd 11"
CHal, ,,suave ondulado,1.48,,,,0,,,,0,,,,0,,,,0,1.48,"CAMBISSOLO, HUMICO, Alitico, tipico",,,,,argilosa/muito argilosa,,,,,"CAMBISSOLO, HUMICO, Alitico, tipico - CHal"
CXal 2,pedregosa,,suave ondulado,0.7770000000000001,,,,0,,,,0,,,,0,,,,0,0.7770000000000001,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 2"
CXal 6,pedregosa,,forte ondulado,0.7770000000000001,,,,0,,,,0,,,,0,,,,0,0.7770000000000001,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,media com cascalho,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 6"
CXal 7,pedregosa,,forte ondulado,1.036,,,,0,,,,0,,,,0,,,,0,1.036,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,media com cascalho/argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 7"
CXal 1,pedregosa,,moderadamente ondulado,1.036,,,,0,,,,0,,,,0,,,,0,1.036,"CAMBISSOLO, HAPLICO, Alitico, leptico",,,,,media/argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, leptico - CXal 1"
CXal 3, ,,moderadamente ondulado,1.48,,,,0,,,,0,,,,0,,,,0,1.48,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,media/argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 3"
CXal 4, ,,ondulado,1.48,,,,0,,,,0,,,,0,,,,0,1.48,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,media/argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 4"
CXal 5,pedregosa,,ondulado,1.036,,,,0,,,,0,,,,0,,,,0,1.036,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,media/argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 5"
CXal 8,pedregosa,,montanhoso,1.036,,,,0,,,,0,,,,0,,,,0,1.036,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,media/argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 8"
CXal 10, ,,moderadamente ondulado,1.48,,,,0,,,,0,,,,0,,,,0,1.48,"CAMBISSOLO, HAPLICO, Alitico, tipico",,,,,muito argilosa,,,,,"CAMBISSOLO, HAPLICO, Alitico, tipico - CXal 10"
CXvd 2,pedregosa,,forte ondulado,0.9380000000000002,,,,0,,,,0,,,,0,,,,0,0.9380000000000002,"CAMBISSOLO, HAPLICO, Ta Distrofico, leptico",,,,,argilosa,,,,,"CAMBISSOLO, HAPLICO, Ta Distrofico, leptico - CXvd 2"
CXve 18, ,,suave ondulado,1.34,,,,0,,,,0,,,,0,,,,0,1.34,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,argilosa,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 18"
CXve 20, ,,ondulado,1.34,,,,0,,,,0,,,,0,,,,0,1.34,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,argilosa,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 20"
CXve 21,pedregosa,,forte ondulado,0.9380000000000002,,,,0,,,,0,,,,0,,,,0,0.9380000000000002,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,argilosa,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 21"
CXvd 1,pedregosa,,forte ondulado,0.9380000000000002,,,,0,,,,0,,,,0,,,,0,0.9380000000000002,"CAMBISSOLO, HAPLICO, Ta Distrofico, leptico",,,,,argilosa com cascalho/argilosa,,,,,"CAMBISSOLO, HAPLICO, Ta Distrofico, leptico - CXvd 1"
CHa, ,,suave ondulado,1.34,,,,0,,,,0,,,,0,,,,0,1.34,"CAMBISSOLO, HUMICO, Aluminico, tipico",,,,,argilosa/muito argilosa,,,,,"CAMBISSOLO, HUMICO, Aluminico, tipico - CHa"
CXbe 1, ,,moderadamente ondulado,1.34,,,,0,,,,0,,,,0,,,,0,1.34,"CAMBISSOLO, HAPLICO, Tb Eutrofico, leptico",,,,,argilosa/muito argilosa,,,,,"CAMBISSOLO, HAPLICO, Tb Eutrofico, leptico - CXbe 1"
CXvd 3,pedregosa,,moderadamente ondulado,0.679,,,,0,,,,0,,,,0,,,,0,0.679,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico - CXvd 3"
CXvd 4, ,,ondulado,0.97,,,,0,,,,0,,,,0,,,,0,0.97,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico - CXvd 4"
CXvd 5,pedregosa,,forte ondulado,0.679,,,,0,,,,0,,,,0,,,,0,0.679,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico - CXvd 5"
CXve 1, ,,moderadamente ondulado,0.97,,,,0,,,,0,,,,0,,,,0,0.97,"CAMBISSOLO, HAPLICO, Ta Eutrofico, leptico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, leptico - CXve 1"
CXve 10, ,,ondulado,0.97,,,,0,,,,0,,,,0,,,,0,0.97,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 10"
CXve 11, ,,forte ondulado,0.97,,,,0,,,,0,,,,0,,,,0,0.97,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 11"
CXve 12, ,,ondulado,0.97,,,,0,,,,0,,,,0,,,,0,0.97,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 12"
CXve 17, ,,forte ondulado,0.97,,,,0,,,,0,,,,0,,,,0,0.97,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 17"
CXve 19,pedregosa,rochosa,forte ondulado,0.38800000000000007,,,,0,,,,0,,,,0,,,,0,0.38800000000000007,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 19"
CXve 2,pedregosa,,ondulado,0.679,,,,0,,,,0,,,,0,,,,0,0.679,"CAMBISSOLO, HAPLICO, Ta Eutrofico, leptico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, leptico - CXve 2"
CXve 22,pedregosa,,ondulado,0.679,,,,0,,,,0,,,,0,,,,0,0.679,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 22"
CXve 24,pedregosa,rochosa,forte ondulado,0.38800000000000007,,,,0,,,,0,,,,0,,,,0,0.38800000000000007,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 24"
CXve 25,pedregosa,,forte ondulado,0.679,,,,0,,,,0,,,,0,,,,0,0.679,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 25"
CXve 27,pedregosa,rochosa,forte ondulado,0.38800000000000007,,,,0,,,,0,,,,0,,,,0,0.38800000000000007,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 27"
CXve 9,pedregosa,,ondulado,0.679,,,,0,,,,0,,,,0,,,,0,0.679,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 9"
CXvd 9,pedregosa,,forte ondulado,0.38800000000000007,,,,0,,,,0,,,,0,,,,0,0.38800000000000007,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico",,,,,media cascalhenta,,,,,"CAMBISSOLO, HAPLICO, Ta Distrofico, umbrico - CXvd 9"
CXve 13,pedregosa,,ondulado,0.38800000000000007,,,,0,,,,0,,,,0,,,,0,0.38800000000000007,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media cascalhenta,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 13"
CXve 14, ,,ondulado,0.679,,,,0,,,,0,,,,0,,,,0,0.679,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media cascalhenta,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 14"
CXve 26,pedregosa,,forte ondulado,0.38800000000000007,,,,0,,,,0,,,,0,,,,0,0.38800000000000007,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico",,,,,media cascalhenta,,,,,"CAMBISSOLO, HAPLICO, Ta Eutrofico, tipico - CXve 26"
